"","year","nb_cases","pixel"
"1",1990,6.97712418300654,61
"2",1991,7.3202614379085,64
"3",1992,9.15032679738562,80
"4",1993,7.66339869281046,67
"5",1994,8.12091503267974,71
"6",1995,8.69281045751634,76
"7",1996,12.1241830065359,106
"8",1997,10.8660130718954,95
"9",1998,9.95098039215686,87
"10",1999,11.8954248366013,104
"11",2000,12.6960784313725,111
"12",2001,10.8660130718954,95
"13",2002,9.6078431372549,84
"14",2003,9.26470588235294,81
"15",2004,4.23202614379085,37
"16",2005,3.20261437908497,28
"17",2006,5.94771241830065,52
"18",2007,3.54575163398693,31
"19",2008,1.25816993464052,11
"20",2009,0.228758169934641,2
"21",2010,0.800653594771242,7
"22",2011,0.915032679738562,8
"23",2012,0.11437908496732,1
